公司,岗位,面试时间,状态,主打方向,备战目录,简历版本,备注
字节,今日头条数据科学,2026-09-03,已面,数据科学/因果/推荐,03_岗位弹药库/字节面试-2026-09-03-今日头条数据科学/,简历-腾讯版,代码题=两个单词长度乘积最大值(LeetCode318)
大宇无限,广告算法工程师,2026-09-04 HR面,进行中,广告算法/出海,03_岗位弹药库/大宇无限-广告岗-面试准备/,童力-大宇无限-广告算法工程师.pdf,四轮面:广告负责人→广告专业→技术负责人→CEO;逐轮策略见02_面试备战资料/大宇无限四轮面试_逐轮备战策略.md
比亚迪,高级算法工程师(营销方向),2026-09-07,待面,营销/用增/归因,03_岗位弹药库/比亚迪-面试准备/,简历-腾讯版,主打中信客群营销+OPPO补充
乐趣无限,推荐算法工程师,2026-09-08,待面,推荐全链路/海外社交/流量调控,03_岗位弹药库/乐趣无限-面试准备/,待确认,
万声音乐,推荐算法工程师,2026-09-09 16:30,待面,音乐推荐/向量召回/多目标,03_岗位弹药库/万声科技-面试准备/,童力-腾讯-推荐.pdf,OPPO/vivo/小米投资；16:30-17:00 腾讯会议线上 664-948-280
GoodLuckStudio,游戏数据分析师,2026-09-10,待面,游戏数据/留存cohort/AB实验,03_岗位弹药库/GoodLuckStudio-面试准备/,童力-腾讯-游戏数据分析.pdf,香港岗位需确认工作许可
拼多多,AI算法工程师(电商推荐),2026-09-11 一面 / 待二面,进行中,电商推荐/重排生成/精排价值LTV,03_岗位弹药库/拼多多-面试准备/,简历-腾讯版,团队约20人(精排价值含LTV 3-4/重排生成4-5/全链路排查2-3/新场景发券3-5);一面已问发券场景题+Coding数正方形+实验管理;二面预测见03_速成包/拼多多_二面预测题库.md
